,CLASS,PACKAGE,KILLED,MEMORY_ERROR,NO_COVERAGE,SURVIVED,TIMED_OUT,Total_Mutant,Mutation_Score,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED,Statement_Percentage,Branch_Percentage,CC
212,SynchronizedQueue,org.apache.commons.collections4.queue,1,0,10,0,0,11,9.090909090909092,5,97,0,2,2,20,1,11,1,10,90.9090909090909,100.0,12
213,SynchronizedSortedBag,org.apache.commons.collections4.bag,1,0,4,0,0,5,20.0,42,9,0,0,9,3,5,2,5,2,25.0,,7
214,TiedMapEntry,org.apache.commons.collections4.keyvalue,18,0,1,1,0,20,90.0,3,106,5,17,1,21,5,13,0,7,95.45454545454545,77.27272727272727,18
215,TransformIterator,org.apache.commons.collections4.iterators,4,0,2,0,0,6,66.66666666666666,23,28,0,0,11,9,6,5,6,5,45.0,,11
216,TransformedBag,org.apache.commons.collections4.bag,1,0,13,0,0,14,7.142857142857142,0,99,1,7,0,18,1,13,0,10,100.0,87.5,14
217,TransformedCollection,org.apache.commons.collections4.collection,9,0,0,1,0,10,90.0,0,103,1,7,0,21,1,10,0,7,100.0,87.5,11
218,TransformedList,org.apache.commons.collections4.list,19,0,1,2,0,22,86.36363636363636,13,161,1,7,2,35,2,21,1,18,94.5945945945946,87.5,23
219,TransformedMap,org.apache.commons.collections4.map,21,0,0,2,0,23,91.30434782608695,1,144,2,10,0,38,2,16,0,12,100.0,83.33333333333334,18
220,TransformedMultiValuedMap,org.apache.commons.collections4.multimap,0,0,21,0,0,21,0.0,10,156,4,16,2,35,4,15,0,9,94.5945945945946,80.0,19
221,TransformedNavigableSet,org.apache.commons.collections4.set,0,0,17,0,0,17,0.0,55,74,4,0,10,15,6,11,4,11,60.0,0.0,17
222,TransformedPredicate,org.apache.commons.collections4.functors,4,0,2,0,0,6,66.66666666666666,16,34,1,3,3,10,3,4,2,3,76.92307692307693,75.0,7
223,TransformedQueue,org.apache.commons.collections4.queue,10,0,0,1,0,11,90.9090909090909,0,78,1,3,0,16,1,10,0,9,100.0,75.0,11
224,TransformedSet,org.apache.commons.collections4.set,8,0,0,1,0,9,88.8888888888889,0,67,1,7,0,12,1,8,0,5,100.0,87.5,9
225,TransformedSortedBag,org.apache.commons.collections4.bag,1,0,8,0,0,9,11.111111111111109,44,23,4,0,8,6,4,5,2,5,42.857142857142854,0.0,9
226,TransformedSortedMap,org.apache.commons.collections4.map,0,0,13,0,0,13,0.0,0,94,1,1,0,19,1,10,0,10,100.0,50.0,11
227,TransformedSortedSet,org.apache.commons.collections4.set,0,0,12,0,0,12,0.0,44,60,4,0,8,12,4,8,2,8,60.0,0.0,12
228,TransformedSplitMap,org.apache.commons.collections4.splitmap,10,0,4,1,0,15,66.66666666666666,24,94,3,5,7,23,5,10,2,9,76.66666666666667,62.5,15
